datetime,total_demand,HourlyDryBulbTemperature,HourlyWetBulbTemperature,holiday,weekday
2019-01-14 17:00:00,24152.362728333326,24.0,21.0,1,1
2019-01-14 18:00:00,24091.1392585,22.0,20.0,1,1
2019-01-14 19:00:00,23925.938769666685,20.0,18.5,1,1
2019-01-14 20:00:00,23736.752962333336,19.0,18.0,1,1
2019-01-14 21:00:00,23404.496420166663,19.0,18.0,1,1
2019-01-14 22:00:00,22779.602474,20.0,18.0,1,1
2019-01-14 23:00:00,22153.62093100001,19.0,18.0,1,1
2019-01-15 00:00:00,21627.687663500004,17.5,16.5,1,2
2019-01-15 01:00:00,21117.32985033333,18.666666666666668,17.666666666666668,1,2
2019-01-15 02:00:00,20705.907031666666,25.0,24.0,1,2
2019-01-15 03:00:00,20427.215136833336,25.0,24.0,1,2
2019-01-15 04:00:00,20031.234440499997,26.0,24.0,1,2
2019-01-15 05:00:00,19837.559733000002,27.0,25.0,1,2
2019-01-15 06:00:00,19726.463347000008,27.0,25.0,1,2
2019-01-15 07:00:00,19625.957128666676,27.0,25.0,1,2
2019-01-15 08:00:00,19526.189453333336,28.0,26.0,1,2
2019-01-15 09:00:00,19614.353483166673,29.0,27.0,1,2
2019-01-15 10:00:00,19352.213314333334,31.0,29.0,1,2
2019-01-15 11:00:00,20580.046419000002,31.0,29.0,1,2
2019-01-15 12:00:00,21976.550000333333,31.0,29.0,1,2
2019-01-15 13:00:00,23021.107389166667,30.5,28.5,1,2
2019-01-15 14:00:00,23712.51149083334,30.0,28.0,1,2
2019-01-15 15:00:00,24173.239160666664,30.0,29.0,1,2
2019-01-15 16:00:00,24387.29742883333,30.0,29.0,1,2
2019-01-15 17:00:00,24397.329493166668,30.0,29.0,1,2
2019-01-15 18:00:00,24334.675912000002,30.0,28.0,1,2
2019-01-15 19:00:00,24193.17298233333,30.0,28.0,1,2
2019-01-15 20:00:00,23959.071842333342,31.0,28.0,1,2
2019-01-15 21:00:00,23498.16897866667,31.0,28.0,1,2
2019-01-15 22:00:00,22881.29492283333,30.0,27.0,1,2
2019-01-15 23:00:00,22239.604980833337,27.0,25.0,1,2
2019-01-16 00:00:00,21808.845442333335,27.0,25.0,0,3
2019-01-16 01:00:00,21382.850032500002,27.0,25.0,0,3
2019-01-16 02:00:00,21078.568034166663,27.0,25.0,0,3
2019-01-16 03:00:00,20660.144890166677,27.0,26.0,0,3
2019-01-16 04:00:00,20132.170703333337,27.5,26.5,0,3
2019-01-16 05:00:00,19881.149088833343,30.0,29.0,0,3
2019-01-16 06:00:00,19686.280338499997,31.0,29.0,0,3
2019-01-16 07:00:00,19586.928613500007,32.0,29.666666666666668,0,3
2019-01-16 08:00:00,19534.606348166664,33.0,31.0,0,3
2019-01-16 09:00:00,19600.972136500004,34.0,31.0,0,3
2019-01-16 10:00:00,20116.456152500003,35.0,32.0,0,3
2019-01-16 11:00:00,21012.44462900001,35.0,31.5,0,3
2019-01-16 12:00:00,22109.246225333343,32.5,30.0,0,3
2019-01-16 13:00:00,23233.12724583334,32.0,28.0,0,3
2019-01-16 14:00:00,23890.92008466667,30.0,26.0,0,3
2019-01-16 15:00:00,24349.117285833338,28.0,24.0,0,3
2019-01-16 16:00:00,24596.721290000005,24.0,20.0,0,3
2019-01-16 17:00:00,24625.90403716667,22.0,19.0,0,3
2019-01-16 18:00:00,24589.186556166667,21.0,18.0,0,3
2019-01-16 19:00:00,24478.8431645,20.0,17.0,0,3
2019-01-16 20:00:00,24214.14462883333,18.0,16.0,0,3
2019-01-16 21:00:00,23776.650618833326,17.0,15.0,0,3
2019-01-16 22:00:00,23197.4495445,15.0,13.0,0,3
2019-01-16 23:00:00,22515.558073500004,14.0,12.0,0,3
2019-01-17 00:00:00,22070.572819166675,13.0,12.0,0,4
2019-01-17 01:00:00,21551.65673866667,11.5,10.5,0,4
2019-01-17 02:00:00,21253.554883166675,10.0,9.0,0,4
2019-01-17 03:00:00,20925.020997333333,9.0,8.0,0,4
2019-01-17 04:00:00,20315.804720333337,7.0,7.0,0,4
2019-01-17 05:00:00,20034.873731000003,7.0,7.0,0,4
2019-01-17 06:00:00,19894.246615166667,7.0,6.0,0,4
2019-01-17 07:00:00,19844.407780500005,7.0,6.5,0,4
2019-01-17 08:00:00,19779.34768966667,13.0,12.0,0,4
2019-01-17 09:00:00,19820.449642333337,16.0,15.0,0,4
2019-01-17 10:00:00,20220.51376933334,18.0,16.0,0,4
2019-01-17 11:00:00,21036.07646466668,20.0,17.0,0,4
2019-01-17 12:00:00,22414.005241333332,21.0,18.0,0,4
2019-01-17 13:00:00,23359.44231816666,21.5,18.5,0,4
2019-01-17 14:00:00,23959.063834333338,22.0,19.0,0,4
2019-01-17 15:00:00,24337.22168000001,23.0,20.0,0,4
2019-01-17 16:00:00,24520.37063800001,23.0,20.0,0,4
2019-01-17 17:00:00,24489.7420585,23.0,20.0,0,4
2019-01-17 18:00:00,24380.746582166656,23.0,20.0,0,4
2019-01-17 19:00:00,24289.379330166666,23.5,20.5,0,4
2019-01-17 20:00:00,24189.143620166673,25.0,22.0,0,4
2019-01-17 21:00:00,23784.4841805,26.0,23.0,0,4
2019-01-17 22:00:00,23212.23821616667,26.0,23.0,0,4
2019-01-17 23:00:00,22519.52050916667,28.0,25.0,0,4
2019-01-18 00:00:00,22036.56233816666,28.0,25.0,0,5
2019-01-18 01:00:00,21387.804948333338,29.5,26.5,0,5
2019-01-18 02:00:00,21029.299837666673,30.0,28.33333333333333,0,5
2019-01-18 03:00:00,20689.151920666664,30.0,29.0,0,5
